#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH,channel_id,channel_name,total_subscribers,total_views,total_videos
1,HaerteTest @UCqsS8fU6yVxrJr5y_CoUn3w,19.9M,-,Germany,,6M,UCqsS8fU6yVxrJr5y_CoUn3w,HaerteTest,19500000,3876249411,2083
2,Kinder Spielzeug Kanal @UCVEDZVtA5NUtjxSXHjtvkag,19.3M,-,Germany,,5.8M,UCVEDZVtA5NUtjxSXHjtvkag,Kidibli (Kinder Spielzeug Kanal),31200000,17501148468,1384
3,Ice Cream Rolls @UCAon55hNT6ESbdQ5y1hRWTA,12.2M,-,Germany,,3.7M,UCAon55hNT6ESbdQ5y1hRWTA,Ice Cream Rolls,12600000,1771197741,2667
4,Pamela Reif @UChVRfsT_ASBZk10o0An7Ucg,8.8M,0.10%,Germany,Fitness,2.6M,UChVRfsT_ASBZk10o0An7Ucg,Pamela Reif,10600000,2213504460,336
5,freekickerz @UCC9h3H-sGrvqd2otknZntsQ,8.7M,-,Germany,,2.6M,UCC9h3H-sGrvqd2otknZntsQ,freekickerz,8480000,2455463039,1711
6,Dhruv Rathee @UC-CSyyi47VX1lD9zyeABW3w,8.1M,2.50%,Germany,,2.4M,UC-CSyyi47VX1lD9zyeABW3w,Dhruv Rathee,31800000,5433389878,744
7,The Voice Kids @UCsaKxIA9snv1Wrh_sw1DFvg,7.3M,-,Germany,News,2.2M,UCsaKxIA9snv1Wrh_sw1DFvg,The Voice Kids,13000000,5080924725,2240
8,Rammstein Official @UCYp3rk70ACGXQ4gFAiMr1SQ,7.1M,-,Germany,,2.1M,UCYp3rk70ACGXQ4gFAiMr1SQ,Rammstein Official,9210000,7773629230,166
9,German Spidey @germanspidey,6.6M,0.20%,Germany,,2M,germanspidey,COLORS,8350000,3051830308,1791
10,COLORS @UC2Qw1dzXDBAZPwS7zm37g8g,6.2M,-,Germany,,1.9M,UC2Qw1dzXDBAZPwS7zm37g8g,Kontor.TV,6420000,7424638817,2861
11,Kontor.TV @UCb3tJ5NKw7mDxyaQ73mwbRg,6.1M,-,Germany,,1.8M,UCb3tJ5NKw7mDxyaQ73mwbRg,TheFatRat,6740000,2238183976,145
12,TheFatRat @UCa_UMppcMsHIzb5LDx1u9zQ,6.1M,1.10%,Germany,,1.8M,UCa_UMppcMsHIzb5LDx1u9zQ,Julien Bam,6200000,1710648193,250
13,Julien Bam @UCTXeJ33DzXI2veQpKfrvaYw,6M,-,Germany,,1.8M,UCTXeJ33DzXI2veQpKfrvaYw,BibisBeautyPalace,5730000,2458896131,760
14,BibisBeautyPalace @UCHfdTAyg5t4mb1G-3rJ6QsQ,5.9M,0.30%,Germany,,1.8M,UCHfdTAyg5t4mb1G-3rJ6QsQ,TikTokTunes,7090000,4982406318,1367
15,TikTokTunes @UC9EgazNjxm-_3eydGQR45rQ,5.7M,-,Germany,,1.7M,UC9EgazNjxm-_3eydGQR45rQ,briQle,5690000,1402027274,127
16,briQle @UCrT0Q_oAAv5xbHB8LrUwz_g,5.5M,-,Germany,,1.6M,UCrT0Q_oAAv5xbHB8LrUwz_g,Ali Omar,6270000,716817577,869
17,Ali Omar @UCJhAZAK6t92znGV9tMuy7eQ,5.2M,-,Germany,,1.6M,UCJhAZAK6t92znGV9tMuy7eQ,Unique Vibes,6120000,3969285169,1380
18,Unique Vibes @UCn7Z0uhzGS1KjnO-sWml_dw,5.2M,-,Germany,,1.6M,UCn7Z0uhzGS1KjnO-sWml_dw,laserluca,5740000,4225535785,4115
19,laserluca @UCmxc6kXbU1J-0pR2F3wIx9A,4.8M,1.80%,Germany,,1.4M,UCmxc6kXbU1J-0pR2F3wIx9A,DW Documental,6110000,1461184304,788
20,DW Documental @UCQ1GpKa15ulyoQuxz7H4rng,4.6M,-,Germany,,1.4M,UCQ1GpKa15ulyoQuxz7H4rng,DW Documentary,6380000,929694244,1560
21,DW Documentary @UCW39zufHfsuGgpLviKh297Q,4.5M,-,Germany,Travel,1.4M,UCW39zufHfsuGgpLviKh297Q,clips mix,4320000,2922219238,5822
22,clips mix @UCogFmwd_6QgQ4qZtU2gDDVQ,4.5M,-,Germany,,1.3M,UCogFmwd_6QgQ4qZtU2gDDVQ,DW News,6230000,3135176345,46302
23,DW News @UCknLrEdhRCp1aegoMqRaCZg,4.4M,-,Germany,,1.3M,UCknLrEdhRCp1aegoMqRaCZg,Majestic Casual,4250000,2275084860,2428
24,Majestic Casual @UCXIyz409s7bNWVcM-vjfdVA,4.3M,-,Germany,,1.3M,UCXIyz409s7bNWVcM-vjfdVA,ArkivaShqip,4730000,7995415808,9007
25,ArkivaShqip @UCUd0P7GJ_6UiLcIpfKH9sCQ,4.1M,-,Germany,,1.2M,UCUd0P7GJ_6UiLcIpfKH9sCQ,Calisthenicmovement,4270000,557738807,410
26,Calisthenicmovement @UCZIIRX8rkNjVpP-oLMHpeDw,4.1M,-,Germany,,1.2M,UCZIIRX8rkNjVpP-oLMHpeDw,Dagi Bee,3870000,1075836470,675
27,Dagi Bee @UCpZ_DI-ZugwMzXcqccaTVsg,4M,-,Germany,,1.2M,UCpZ_DI-ZugwMzXcqccaTVsg,Free Documentary,5750000,1264421447,971
